registration_id,driver_id,vin_number,registration_date,expiry_date
1,83,3C6TD4KT8CG947424,2024-03-21,2020-05-02
2,79,1N4AA5APXAC205597,2024-01-06,2018-10-15
3,18,WAUGL78E66A372019,2022-12-13,2024-04-13
4,50,WAUGGBFC0CN162352,2019-03-27,2030-05-26
5,41,3C3CFFBR7FT755236,2021-04-17,2027-01-27
6,72,WAUGL78E66A372018,2018-06-04,2023-09-05
7,98,WBAYF4C54FG129002,2018-04-11,2018-08-16
8,51,2HNYD2H28DH587407,2015-06-02,2033-10-29
9,101,WBALM73559E754543,2020-09-04,2017-07-23
10,15,WUARU98E57N783316,2020-06-22,2017-02-08
11,12,JN1CV6EK1EM396678,2015-09-10,2033-05-02
12,121,JN8AF5MR0ET641233,2016-11-07,2016-01-03
13,48,1D7RE3BK6AS381678,2018-04-24,2021-07-26
14,122,WAUNF68P16A054609,2024-02-18,2028-07-25
15,45,JTEBU4BF5CK727516,2019-07-11,2019-11-02
16,43,2HNYD182X5H944291,2015-06-01,2014-10-03
17,112,WAULT54B93N912854,2022-09-02,2024-02-02
18,114,2HNYD189X4H076126,2023-12-10,2030-08-29
19,101,WAULT54B93N912854,2023-04-12,2026-07-03
20,84,1GD22XEG8FZ445815,2017-02-06,2028-09-10
21,86,JHMFA3F22AS038657,2020-08-08,2015-01-14
22,24,5UXFG2C57CL191569,2019-02-14,2034-07-01
23,2,KMHHT6KD4EU322939,2018-12-25,2021-12-05
24,9,3C4PDCBBXFT502920,2021-07-15,2022-06-04
25,52,5N1AA0NCXFN849693,2017-10-03,2024-04-12
26,30,3VW517AT5FM239731,2018-08-21,2029-10-08
27,40,1G6KE57Y85U642553,2016-02-05,2025-03-22
28,7,WAUGL78E66A372019,2021-09-05,2020-03-29
29,34,WBAYB6C59ED317019,2020-12-09,2030-04-18
30,101,1N4AA5APXAC205597,2024-06-24,2022-03-08
31,81,2V4RW3D17AR323422,2015-06-06,2019-03-02
32,89,WAU3GAFR5DA539344,2018-08-16,2025-09-17
33,25,WAUGFAFR7DA768855,2018-02-17,2019-10-03
34,13,JN8AS5MTXDW386028,2021-06-06,2032-02-14
35,61,3GYFK12209G545112,2020-08-26,2016-02-21
36,110,SCFEBBEL1DG914741,2018-11-20,2017-01-31
37,88,1G6DH1E38E0263043,2016-04-27,2027-12-10
38,123,WBAKF5C5XBE695585,2022-07-30,2014-12-05
39,85,WVWED7AJ5BW852094,2018-07-01,2022-05-25
40,34,JTEBU4BF5CK727516,2016-01-10,2029-11-24
41,108,WAUEH64B71N876868,2016-09-18,2016-11-09
42,123,WBXPA93434W983910,2020-11-10,2017-04-19
43,22,YV4902DZ0C2577029,2017-04-09,2024-08-05
44,50,3GYT4LEF4CG996283,2022-03-22,2015-03-08
45,13,1G6KE57Y85U642553,2019-06-25,2023-05-24
46,117,1G4PS5SK3F4108517,2015-08-28,2034-02-26
47,27,WP0AA2A95ES259993,2020-09-19,2016-01-08
48,5,TRUTX28N521765177,2021-11-24,2025-03-03
49,13,WBA3N5C51EK750664,2021-03-25,2027-06-05
50,17,1G6DH1E38E0263043,2022-09-10,2021-10-14
51,44,1B3AZ6EZ4AV228920,2024-03-26,2017-08-26
52,56,137FA90341E519792,2018-07-16,2028-11-15
53,66,KMHHT6KD4EU322939,2017-09-19,2016-10-22
54,11,3VW117AU9FM193392,2017-03-18,2026-01-02
55,64,WAUEH64B71N876868,2023-02-03,2027-05-02
56,30,1GTN1TEH4EZ601532,2024-02-20,2015-03-28
57,35,4T1BF1FK6FU201985,2023-07-01,2026-10-08
58,66,1N4AA5APXAC205597,2022-07-08,2026-04-30
59,92,5LMJJ2H54EE674796,2019-08-23,2023-06-19
60,25,SCFKDCEP3EG170731,2017-10-27,2018-03-25
61,80,1G6KE57Y85U642553,2016-07-17,2024-03-13
62,71,4T1BF1FK6FU201985,2016-02-20,2027-04-06
63,101,2C3CA9CT3AH307863,2023-06-22,2016-08-19
64,34,1N6BF0KL2FN333744,2022-03-31,2028-06-19
65,115,JH4CL95815C348952,2022-03-21,2025-07-05
66,111,WBAYB6C59ED317019,2017-01-26,2018-09-24
67,22,3D73Y3HL8BG833491,2019-11-20,2021-11-20
68,97,1G6KE57Y85U642553,2021-10-26,2026-10-28
69,16,1G4HP52K044791747,2018-09-07,2028-05-20
70,112,5LMJJ2H54EE674796,2024-07-04,2029-06-09
71,114,3GYFNFE36FS395900,2017-02-10,2022-08-20
72,30,WBXPA93434W983910,2016-04-08,2014-08-13
73,68,WAULD54B74N061023,2020-05-14,2031-07-05
74,34,1G6KE57Y21U171283,2017-08-30,2020-01-14
75,114,JTDBT4K3XB1799796,2015-11-30,2019-09-26
76,29,JHMFA3F22AS038657,2023-07-28,2030-05-19
77,74,1YVHZ8AH7A5340904,2017-01-27,2032-12-11
78,61,KMHHT6KD4EU322939,2017-02-05,2018-03-15
79,1,WAULD54B74N061023,2015-06-10,2019-10-15
80,42,3GYT4LEF4CG996283,2020-05-04,2025-04-05
81,91,2HNYD182X5H944291,2018-12-10,2029-05-27
82,31,2HNYB1H69CH070716,2018-05-11,2017-12-11
83,14,1C4RDHAG8CC106334,2017-10-07,2019-06-19
84,27,YV4902DZ0C2577029,2021-05-20,2027-12-08
85,42,WBAFA53501L723047,2018-01-08,2028-03-09
86,44,JN1BJ0HP6DM671438,2019-02-28,2016-08-17
87,72,WBXPA93434W983910,2015-09-18,2031-05-10
88,15,5GALVBED5AJ012714,2016-06-17,2028-01-08
89,22,2HNYB1H69CH070716,2016-05-04,2028-05-17
90,94,WAUEH64B71N876868,2021-08-31,2021-11-21
91,33,SCBLF34F15C289278,2020-03-04,2019-02-08
92,48,1N6AF0KX6FN585124,2017-04-11,2021-07-16
93,112,JN8AF5MR0ET641233,2022-10-14,2031-08-29
94,98,WAUGGBFC0CN162352,2021-01-13,2023-08-25
95,19,3VW117AU9FM193392,2022-03-21,2014-09-07
96,63,3GYT4LEF4CG996283,2021-09-11,2028-07-31
97,82,SCFEBBAC8AG310332,2022-02-27,2024-06-13
98,93,KMHHT6KD6DU324030,2022-10-31,2030-10-23
99,33,WAUGL78E66A372019,2019-09-24,2026-01-18
100,114,JHMFA3F22AS038657,2019-07-23,2028-02-07
101,40,4T1BF1FK6FU201985,2022-05-17,2016-11-26
102,25,WA1DGAFP6DA230675,2023-01-17,2028-09-14
103,2,JN8AF5MR9BT981041,2020-08-02,2024-08-14
104,87,WBAKN9C54FD394669,2015-08-16,2028-08-09
105,53,3GYFNFE36FS395900,2018-03-15,2020-11-09
106,38,1G6KE57Y85U642553,2023-04-02,2025-02-22
107,86,WBAPH5C55BF128808,2019-04-29,2027-01-25
108,67,1G4PS5SK3F4108517,2024-06-23,2032-04-14
